"","Parameter","Specie","Treatment","Plante","Time","Value"
"1","erSem","Epinard","Bache",1,"T1",0.12752
"2","dSem","Epinard","Bache",1,"T1",1
"3","maxSem","Epinard","Bache",1,"T1",1
"4","ageAdv","Epinard","Bache",1,"T1",0
"5","distAdv","Epinard","Bache",1,"T1",0
"6","erAdv","Epinard","Bache",1,"T1",0
"7","dAdv","Epinard","Bache",1,"T1",0
"8","maxAdv","Epinard","Bache",1,"T1",0
"9","dmin","Epinard","Bache",1,"T1",0.280988422
"10","dmax","Epinard","Bache",1,"T1",0.54611798
"11","EL","Epinard","Bache",1,"T1",19.6
"12","TrT","Epinard","Bache",1,"T1",1
"13","Trint","Epinard","Bache",1,"T1",0.03
"14","PDT","Epinard","Bache",1,"T1",6.015
"15","IPD","Epinard","Bache",1,"T1",3.00640032565328
"16","pdmax","Epinard","Bache",1,"T1",0.8
"17","pdmin","Epinard","Bache",1,"T1",0
"18","RDM","Epinard","Bache",1,"T1",0.151
"19","CVDD","Epinard","Bache",1,"T1",0.15
"20","TMD","Epinard","Bache",1,"T1",5.35095921938588
"21","GDs","Epinard","Bache",1,"T1",400
"22","SGC","Epinard","Bache",1,"T1",0.9
"23","LDC","Epinard","Bache",1,"T1",5000
"24","erSem","Epinard","Bache",2,"T1",0.12752
"25","dSem","Epinard","Bache",2,"T1",1
"26","maxSem","Epinard","Bache",2,"T1",1
"27","ageAdv","Epinard","Bache",2,"T1",0
"28","distAdv","Epinard","Bache",2,"T1",0
"29","erAdv","Epinard","Bache",2,"T1",0
"30","dAdv","Epinard","Bache",2,"T1",0
"31","maxAdv","Epinard","Bache",2,"T1",0
"32","dmin","Epinard","Bache",2,"T1",0.257426383
"33","dmax","Epinard","Bache",2,"T1",0.473966132
"34","EL","Epinard","Bache",2,"T1",19.6
"35","TrT","Epinard","Bache",2,"T1",1
"36","Trint","Epinard","Bache",2,"T1",0.03
"37","PDT","Epinard","Bache",2,"T1",6.015
"38","IPD","Epinard","Bache",2,"T1",7.85430854575082
"39","pdmax","Epinard","Bache",2,"T1",0.8
"40","pdmin","Epinard","Bache",2,"T1",0
"41","RDM","Epinard","Bache",2,"T1",0.151
"42","CVDD","Epinard","Bache",2,"T1",0.15
"43","TMD","Epinard","Bache",2,"T1",4.22852748467993
"44","GDs","Epinard","Bache",2,"T1",400
"45","SGC","Epinard","Bache",2,"T1",0.9
"46","LDC","Epinard","Bache",2,"T1",5000
"47","erSem","Epinard","Bache",3,"T1",0.12752
"48","dSem","Epinard","Bache",3,"T1",1
"49","maxSem","Epinard","Bache",3,"T1",1
"50","ageAdv","Epinard","Bache",3,"T1",0
"51","distAdv","Epinard","Bache",3,"T1",0
"52","erAdv","Epinard","Bache",3,"T1",0
"53","dAdv","Epinard","Bache",3,"T1",0
"54","maxAdv","Epinard","Bache",3,"T1",0
"55","dmin","Epinard","Bache",3,"T1",0.268376058
"56","dmax","Epinard","Bache",3,"T1",0.457071426
"57","EL","Epinard","Bache",3,"T1",19.6
"58","TrT","Epinard","Bache",3,"T1",1
"59","Trint","Epinard","Bache",3,"T1",0.03
"60","PDT","Epinard","Bache",3,"T1",6.015
"61","IPD","Epinard","Bache",3,"T1",3.60589422354496
"62","pdmax","Epinard","Bache",3,"T1",0.8
"63","pdmin","Epinard","Bache",3,"T1",0
"64","RDM","Epinard","Bache",3,"T1",0.151
"65","CVDD","Epinard","Bache",3,"T1",0.15
"66","TMD","Epinard","Bache",3,"T1",2.54909718252554
"67","GDs","Epinard","Bache",3,"T1",400
"68","SGC","Epinard","Bache",3,"T1",0.9
"69","LDC","Epinard","Bache",3,"T1",5000
"70","erSem","Epinard","Bache",4,"T1",0.12752
"71","dSem","Epinard","Bache",4,"T1",1
"72","maxSem","Epinard","Bache",4,"T1",1
"73","ageAdv","Epinard","Bache",4,"T1",0
"74","distAdv","Epinard","Bache",4,"T1",0
"75","erAdv","Epinard","Bache",4,"T1",0
"76","dAdv","Epinard","Bache",4,"T1",0
"77","maxAdv","Epinard","Bache",4,"T1",0
"78","dmin","Epinard","Bache",4,"T1",0.43825276
"79","dmax","Epinard","Bache",4,"T1",0.5684386
"80","EL","Epinard","Bache",4,"T1",19.6
"81","TrT","Epinard","Bache",4,"T1",1
"82","Trint","Epinard","Bache",4,"T1",0.03
"83","PDT","Epinard","Bache",4,"T1",6.015
"84","IPD","Epinard","Bache",4,"T1",4.85258972765956
"85","pdmax","Epinard","Bache",4,"T1",0.8
"86","pdmin","Epinard","Bache",4,"T1",0
"87","RDM","Epinard","Bache",4,"T1",0.151
"88","CVDD","Epinard","Bache",4,"T1",0.15
"89","TMD","Epinard","Bache",4,"T1",3.59958046272636
"90","GDs","Epinard","Bache",4,"T1",400
"91","SGC","Epinard","Bache",4,"T1",0.9
"92","LDC","Epinard","Bache",4,"T1",5000
"93","erSem","Epinard","Bache",5,"T1",0.12752
"94","dSem","Epinard","Bache",5,"T1",1
