"","Parameter","Specie","Treatment","Plante","Time","Value"
"1","erSem","Butternut","Bache",1,"T1",0.1071
"2","dSem","Butternut","Bache",1,"T1",1
"3","maxSem","Butternut","Bache",1,"T1",1
"4","ageAdv","Butternut","Bache",1,"T1",0
"5","distAdv","Butternut","Bache",1,"T1",0
"6","erAdv","Butternut","Bache",1,"T1",0
"7","dAdv","Butternut","Bache",1,"T1",0
"8","maxAdv","Butternut","Bache",1,"T1",0
"9","dmin","Butternut","Bache",1,"T1",0.237711322
"10","dmax","Butternut","Bache",1,"T1",1.95170102
"11","EL","Butternut","Bache",1,"T1",19.1
"12","TrT","Butternut","Bache",1,"T1",1
"13","Trint","Butternut","Bache",1,"T1",0.03
"14","PDT","Butternut","Bache",1,"T1",0.936
"15","IPD","Butternut","Bache",1,"T1",11.4748842054804
"16","pdmax","Butternut","Bache",1,"T1",0.8
"17","pdmin","Butternut","Bache",1,"T1",0
"18","RDM","Butternut","Bache",1,"T1",0.287
"19","CVDD","Butternut","Bache",1,"T1",0.15
"20","TMD","Butternut","Bache",1,"T1",2.70244612255649
"21","GDs","Butternut","Bache",1,"T1",400
"22","SGC","Butternut","Bache",1,"T1",0.9
"23","LDC","Butternut","Bache",1,"T1",5000
"24","erSem","Butternut","Bache",2,"T1",0.1071
"25","dSem","Butternut","Bache",2,"T1",1
"26","maxSem","Butternut","Bache",2,"T1",1
"27","ageAdv","Butternut","Bache",2,"T1",0
"28","distAdv","Butternut","Bache",2,"T1",0
"29","erAdv","Butternut","Bache",2,"T1",0
"30","dAdv","Butternut","Bache",2,"T1",0
"31","maxAdv","Butternut","Bache",2,"T1",0
"32","dmin","Butternut","Bache",2,"T1",1.51899493
"33","dmax","Butternut","Bache",2,"T1",3.04522004
"34","EL","Butternut","Bache",2,"T1",19.1
"35","TrT","Butternut","Bache",2,"T1",1
"36","Trint","Butternut","Bache",2,"T1",0.03
"37","PDT","Butternut","Bache",2,"T1",0.936
"38","IPD","Butternut","Bache",2,"T1",33.9643548171916
"39","pdmax","Butternut","Bache",2,"T1",0.8
"40","pdmin","Butternut","Bache",2,"T1",0
"41","RDM","Butternut","Bache",2,"T1",0.287
"42","CVDD","Butternut","Bache",2,"T1",0.15
"43","TMD","Butternut","Bache",2,"T1",1.62617694839793
"44","GDs","Butternut","Bache",2,"T1",400
"45","SGC","Butternut","Bache",2,"T1",0.9
"46","LDC","Butternut","Bache",2,"T1",5000
"47","erSem","Butternut","Bache",3,"T1",0.1071
"48","dSem","Butternut","Bache",3,"T1",1
"49","maxSem","Butternut","Bache",3,"T1",1
"50","ageAdv","Butternut","Bache",3,"T1",0
"51","distAdv","Butternut","Bache",3,"T1",0
"52","erAdv","Butternut","Bache",3,"T1",0
"53","dAdv","Butternut","Bache",3,"T1",0
"54","maxAdv","Butternut","Bache",3,"T1",0
"55","dmin","Butternut","Bache",3,"T1",0.212185629
"56","dmax","Butternut","Bache",3,"T1",1.30724044
"57","EL","Butternut","Bache",3,"T1",19.1
"58","TrT","Butternut","Bache",3,"T1",1
"59","Trint","Butternut","Bache",3,"T1",0.03
"60","PDT","Butternut","Bache",3,"T1",0.936
"61","IPD","Butternut","Bache",3,"T1",6.53924933666819
"62","pdmax","Butternut","Bache",3,"T1",0.8
"63","pdmin","Butternut","Bache",3,"T1",0
"64","RDM","Butternut","Bache",3,"T1",0.287
"65","CVDD","Butternut","Bache",3,"T1",0.15
"66","TMD","Butternut","Bache",3,"T1",4.10399592322839
"67","GDs","Butternut","Bache",3,"T1",400
"68","SGC","Butternut","Bache",3,"T1",0.9
"69","LDC","Butternut","Bache",3,"T1",5000
"70","erSem","Butternut","Feuilles",1,"T1",0.1071
"71","dSem","Butternut","Feuilles",1,"T1",1
"72","maxSem","Butternut","Feuilles",1,"T1",1
"73","ageAdv","Butternut","Feuilles",1,"T1",0
"74","distAdv","Butternut","Feuilles",1,"T1",0
"75","erAdv","Butternut","Feuilles",1,"T1",0
"76","dAdv","Butternut","Feuilles",1,"T1",0
"77","maxAdv","Butternut","Feuilles",1,"T1",0
"78","dmin","Butternut","Feuilles",1,"T1",1.04949266
"79","dmax","Butternut","Feuilles",1,"T1",3.2311967
"80","EL","Butternut","Feuilles",1,"T1",19.1
"81","TrT","Butternut","Feuilles",1,"T1",1
"82","Trint","Butternut","Feuilles",1,"T1",0.03
"83","PDT","Butternut","Feuilles",1,"T1",0.936
"84","IPD","Butternut","Feuilles",1,"T1",39.4326753955297
"85","pdmax","Butternut","Feuilles",1,"T1",0.8
"86","pdmin","Butternut","Feuilles",1,"T1",0
"87","RDM","Butternut","Feuilles",1,"T1",0.287
"88","CVDD","Butternut","Feuilles",1,"T1",0.15
"89","TMD","Butternut","Feuilles",1,"T1",2.04772676391333
"90","GDs","Butternut","Feuilles",1,"T1",400
"91","SGC","Butternut","Feuilles",1,"T1",0.9
"92","LDC","Butternut","Feuilles",1,"T1",5000
"93","erSem","Butternut","Feuilles",2,"T1",0.1071
"94","dSem","Butternut","Feuilles",2,"T1",1
"95","maxSem","Butternut","Feuilles",2,"T1",1
"96","ageAdv","Butternut","Feuilles",2,"T1",0
"97","distAdv","Butternut","Feuilles",2,"T1",0
"98","erAdv","Butternut","Feuilles",2,"T1",0
"99","dAdv","Butternut","Feuilles",2,"T1",0
"100","maxAdv","Butternut","Feuilles",2,"T1",0
"101","dmin","Butternut","Feuilles",2,"T1",0.500234764
"102","dmax","Butternut","Feuilles",2,"T1",3.1087721
"103","EL","Butternut","Feuilles",2,"T1",19.1
"104","TrT","Butternut","Feuilles",2,"T1",1
"105","Trint","Butternut","Feuilles",2,"T1",0.03
"106","PDT","Butternut","Feuilles",2,"T1",0.936
"107","IPD","Butternut","Feuilles",2,"T1",4.68357836811508
"108","pdmax","Butternut","Feuilles",2,"T1",0.8
"109","pdmin","Butternut","Feuilles",2,"T1",0
"110","RDM","Butternut","Feuilles",2,"T1",0.287
"111","CVDD","Butternut","Feuilles",2,"T1",0.15
"112","TMD","Butternut","Feuilles",2,"T1",2.22231824643955
"113","GDs","Butternut","Feuilles",2,"T1",400
"114","SGC","Butternut","Feuilles",2,"T1",0.9
"115","LDC","Butternut","Feuilles",2,"T1",5000
"116","erSem","Butternut","Feuilles",3,"T1",0.1071
"117","dSem","Butternut","Feuilles",3,"T1",1
"118","maxSem","Butternut","Feuilles",3,"T1",1
"119","ageAdv","Butternut","Feuilles",3,"T1",0
"120","distAdv","Butternut","Feuilles",3,"T1",0
"121","erAdv","Butternut","Feuilles",3,"T1",0
"122","dAdv","Butternut","Feuilles",3,"T1",0
"123","maxAdv","Butternut","Feuilles",3,"T1",0
"124","dmin","Butternut","Feuilles",3,"T1",0.287125948
"125","dmax","Butternut","Feuilles",3,"T1",1.60048618
"126","EL","Butternut","Feuilles",3,"T1",19.1
"127","TrT","Butternut","Feuilles",3,"T1",1
"128","Trint","Butternut","Feuilles",3,"T1",0.03
"129","PDT","Butternut","Feuilles",3,"T1",0.936
"130","IPD","Butternut","Feuilles",3,"T1",17.888164528039
"131","pdmax","Butternut","Feuilles",3,"T1",0.8
"132","pdmin","Butternut","Feuilles",3,"T1",0
"133","RDM","Butternut","Feuilles",3,"T1",0.287
"134","CVDD","Butternut","Feuilles",3,"T1",0.15
"135","TMD","Butternut","Feuilles",3,"T1",5.92330975617891
"136","GDs","Butternut","Feuilles",3,"T1",400
"137","SGC","Butternut","Feuilles",3,"T1",0.9
"138","LDC","Butternut","Feuilles",3,"T1",5000
"139","erSem","Butternut","Labour",1,"T1",0.1071
"140","dSem","Butternut","Labour",1,"T1",1
"141","maxSem","Butternut","Labour",1,"T1",1
"142","ageAdv","Butternut","Labour",1,"T1",0
"143","distAdv","Butternut","Labour",1,"T1",0
"144","erAdv","Butternut","Labour",1,"T1",0
"145","dAdv","Butternut","Labour",1,"T1",0
"146","maxAdv","Butternut","Labour",1,"T1",0
"147","dmin","Butternut","Labour",1,"T1",0.279613256
"148","dmax","Butternut","Labour",1,"T1",1.69471812
"149","EL","Butternut","Labour",1,"T1",19.1
"150","TrT","Butternut","Labour",1,"T1",1
"151","Trint","Butternut","Labour",1,"T1",0.03
"152","PDT","Butternut","Labour",1,"T1",0.936
"153","IPD","Butternut","Labour",1,"T1",18.9220675509594
"154","pdmax","Butternut","Labour",1,"T1",0.8
"155","pdmin","Butternut","Labour",1,"T1",0
"156","RDM","Butternut","Labour",1,"T1",0.287
"157","CVDD","Butternut","Labour",1,"T1",0.15
"158","TMD","Butternut","Labour",1,"T1",7.92380330102774
"159","GDs","Butternut","Labour",1,"T1",400
"160","SGC","Butternut","Labour",1,"T1",0.9
