"","Parameter","Specie","Treatment","Plante","Time","Value"
"1","erSem","Potimarron","Bache",1,"T1",0.1071
"2","dSem","Potimarron","Bache",1,"T1",1
"3","maxSem","Potimarron","Bache",1,"T1",1
"4","ageAdv","Potimarron","Bache",1,"T1",0
"5","distAdv","Potimarron","Bache",1,"T1",0
"6","erAdv","Potimarron","Bache",1,"T1",0
"7","dAdv","Potimarron","Bache",1,"T1",0
"8","maxAdv","Potimarron","Bache",1,"T1",0
"9","dmin","Potimarron","Bache",1,"T1",0.337757286
"10","dmax","Potimarron","Bache",1,"T1",2.41023136
"11","EL","Potimarron","Bache",1,"T1",16.641
"12","TrT","Potimarron","Bache",1,"T1",1
"13","Trint","Potimarron","Bache",1,"T1",0.03
"14","PDT","Potimarron","Bache",1,"T1",0.936
"15","IPD","Potimarron","Bache",1,"T1",13.6956916919382
"16","pdmax","Potimarron","Bache",1,"T1",0.8
"17","pdmin","Potimarron","Bache",1,"T1",0
"18","RDM","Potimarron","Bache",1,"T1",0.233
"19","CVDD","Potimarron","Bache",1,"T1",0.15
"20","TMD","Potimarron","Bache",1,"T1",5.68388540702907
"21","GDs","Potimarron","Bache",1,"T1",400
"22","SGC","Potimarron","Bache",1,"T1",0.9
"23","LDC","Potimarron","Bache",1,"T1",5000
"24","erSem","Potimarron","Bache",2,"T1",0.1071
"25","dSem","Potimarron","Bache",2,"T1",1
"26","maxSem","Potimarron","Bache",2,"T1",1
"27","ageAdv","Potimarron","Bache",2,"T1",0
"28","distAdv","Potimarron","Bache",2,"T1",0
"29","erAdv","Potimarron","Bache",2,"T1",0
"30","dAdv","Potimarron","Bache",2,"T1",0
"31","maxAdv","Potimarron","Bache",2,"T1",0
"32","dmin","Potimarron","Bache",2,"T1",0.30895035
"33","dmax","Potimarron","Bache",2,"T1",2.02317566
"34","EL","Potimarron","Bache",2,"T1",16.641
"35","TrT","Potimarron","Bache",2,"T1",1
"36","Trint","Potimarron","Bache",2,"T1",0.03
"37","PDT","Potimarron","Bache",2,"T1",0.936
"38","IPD","Potimarron","Bache",2,"T1",16.0275153202692
"39","pdmax","Potimarron","Bache",2,"T1",0.8
"40","pdmin","Potimarron","Bache",2,"T1",0
"41","RDM","Potimarron","Bache",2,"T1",0.233
"42","CVDD","Potimarron","Bache",2,"T1",0.15
"43","TMD","Potimarron","Bache",2,"T1",6.86037923338543
"44","GDs","Potimarron","Bache",2,"T1",400
"45","SGC","Potimarron","Bache",2,"T1",0.9
"46","LDC","Potimarron","Bache",2,"T1",5000
"47","erSem","Potimarron","Bache",3,"T1",0.1071
"48","dSem","Potimarron","Bache",3,"T1",1
"49","maxSem","Potimarron","Bache",3,"T1",1
"50","ageAdv","Potimarron","Bache",3,"T1",0
"51","distAdv","Potimarron","Bache",3,"T1",0
"52","erAdv","Potimarron","Bache",3,"T1",0
"53","dAdv","Potimarron","Bache",3,"T1",0
"54","maxAdv","Potimarron","Bache",3,"T1",0
"55","dmin","Potimarron","Bache",3,"T1",0.216815531
"56","dmax","Potimarron","Bache",3,"T1",1.165590696
"57","EL","Potimarron","Bache",3,"T1",16.641
"58","TrT","Potimarron","Bache",3,"T1",1
"59","Trint","Potimarron","Bache",3,"T1",0.03
"60","PDT","Potimarron","Bache",3,"T1",0.936
"61","IPD","Potimarron","Bache",3,"T1",9.37913191794688
"62","pdmax","Potimarron","Bache",3,"T1",0.8
"63","pdmin","Potimarron","Bache",3,"T1",0
"64","RDM","Potimarron","Bache",3,"T1",0.233
"65","CVDD","Potimarron","Bache",3,"T1",0.15
"66","TMD","Potimarron","Bache",3,"T1",15.4240569316438
"67","GDs","Potimarron","Bache",3,"T1",400
"68","SGC","Potimarron","Bache",3,"T1",0.9
"69","LDC","Potimarron","Bache",3,"T1",5000
"70","erSem","Potimarron","Feuilles",1,"T1",0.1071
"71","dSem","Potimarron","Feuilles",1,"T1",1
"72","maxSem","Potimarron","Feuilles",1,"T1",1
"73","ageAdv","Potimarron","Feuilles",1,"T1",0
"74","distAdv","Potimarron","Feuilles",1,"T1",0
"75","erAdv","Potimarron","Feuilles",1,"T1",0
"76","dAdv","Potimarron","Feuilles",1,"T1",0
"77","maxAdv","Potimarron","Feuilles",1,"T1",0
"78","dmin","Potimarron","Feuilles",1,"T1",0.473927085
"79","dmax","Potimarron","Feuilles",1,"T1",1.38376616
"80","EL","Potimarron","Feuilles",1,"T1",16.641
"81","TrT","Potimarron","Feuilles",1,"T1",1
