"","Parameter","Specie","Treatment","Time","Value"
"1","erSem","Butternut","Bache","T1",0.1071
"2","dSem","Butternut","Bache","T1",1
"3","maxSem","Butternut","Bache","T1",1
"4","ageAdv","Butternut","Bache","T1",0
"5","distAdv","Butternut","Bache","T1",0
"6","erAdv","Butternut","Bache","T1",0
"7","dAdv","Butternut","Bache","T1",0
"8","maxAdv","Butternut","Bache","T1",0
"9","dmin","Butternut","Bache","T1",0.228167515
"10","dmax","Butternut","Bache","T1",1.9654669
"11","EL","Butternut","Bache","T1",47.2
"12","TrT","Butternut","Bache","T1",1
"13","Trint","Butternut","Bache","T1",0.03
"14","PDT","Butternut","Bache","T1",0.936
"15","IPD","Butternut","Bache","T1",8.64148230318617
"16","pdmax","Butternut","Bache","T1",0.8
"17","pdmin","Butternut","Bache","T1",0
"18","RDM","Butternut","Bache","T1",0.166
"19","CVDD","Butternut","Bache","T1",0.15
"20","TMD","Butternut","Bache","T1",3.08300086421103
"21","GDs","Butternut","Bache","T1",400
"22","SGC","Butternut","Bache","T1",0.9
"23","LDC","Butternut","Bache","T1",5000
"24","erSem","Butternut","Feuilles","T1",0.1071
"25","dSem","Butternut","Feuilles","T1",1
"26","maxSem","Butternut","Feuilles","T1",1
"27","ageAdv","Butternut","Feuilles","T1",0
"28","distAdv","Butternut","Feuilles","T1",0
"29","erAdv","Butternut","Feuilles","T1",0
"30","dAdv","Butternut","Feuilles","T1",0
"31","maxAdv","Butternut","Feuilles","T1",0
"32","dmin","Butternut","Feuilles","T1",0.321044604
"33","dmax","Butternut","Feuilles","T1",2.95032846
"34","EL","Butternut","Feuilles","T1",47.2
"35","TrT","Butternut","Feuilles","T1",1
"36","Trint","Butternut","Feuilles","T1",0.03
"37","PDT","Butternut","Feuilles","T1",0.936
"38","IPD","Butternut","Feuilles","T1",9.33498930011678
"39","pdmax","Butternut","Feuilles","T1",0.8
"40","pdmin","Butternut","Feuilles","T1",0
"41","RDM","Butternut","Feuilles","T1",0.166
"42","CVDD","Butternut","Feuilles","T1",0.15
"43","TMD","Butternut","Feuilles","T1",2.94193165790542
"44","GDs","Butternut","Feuilles","T1",400
"45","SGC","Butternut","Feuilles","T1",0.9
"46","LDC","Butternut","Feuilles","T1",5000
"47","erSem","Butternut","Labour","T1",0.1071
"48","dSem","Butternut","Labour","T1",1
"49","maxSem","Butternut","Labour","T1",1
"50","ageAdv","Butternut","Labour","T1",0
"51","distAdv","Butternut","Labour","T1",0
"52","erAdv","Butternut","Labour","T1",0
"53","dAdv","Butternut","Labour","T1",0
"54","maxAdv","Butternut","Labour","T1",0
"55","dmin","Butternut","Labour","T1",0.32853933
"56","dmax","Butternut","Labour","T1",3.05018558
"57","EL","Butternut","Labour","T1",47.2
"58","TrT","Butternut","Labour","T1",1
"59","Trint","Butternut","Labour","T1",0.03
"60","PDT","Butternut","Labour","T1",0.936
"61","IPD","Butternut","Labour","T1",15.9159473163222
"62","pdmax","Butternut","Labour","T1",0.8
"63","pdmin","Butternut","Labour","T1",0
"64","RDM","Butternut","Labour","T1",0.166
"65","CVDD","Butternut","Labour","T1",0.15
"66","TMD","Butternut","Labour","T1",3.24564766385693
"67","GDs","Butternut","Labour","T1",400
"68","SGC","Butternut","Labour","T1",0.9
"69","LDC","Butternut","Labour","T1",5000
"70","erSem","Butternut","Paille","T1",0.1071
"71","dSem","Butternut","Paille","T1",1
"72","maxSem","Butternut","Paille","T1",1
"73","ageAdv","Butternut","Paille","T1",0
"74","distAdv","Butternut","Paille","T1",0
"75","erAdv","Butternut","Paille","T1",0
"76","dAdv","Butternut","Paille","T1",0
"77","maxAdv","Butternut","Paille","T1",0
"78","dmin","Butternut","Paille","T1",0.508386561
"79","dmax","Butternut","Paille","T1",3.06253208
"80","EL","Butternut","Paille","T1",47.2
"81","TrT","Butternut","Paille","T1",1
"82","Trint","Butternut","Paille","T1",0.03
"83","PDT","Butternut","Paille","T1",0.936
"84","IPD","Butternut","Paille","T1",8.09816305172649
"85","pdmax","Butternut","Paille","T1",0.8
"86","pdmin","Butternut","Paille","T1",0
"87","RDM","Butternut","Paille","T1",0.166
"88","CVDD","Butternut","Paille","T1",0.15
"89","TMD","Butternut","Paille","T1",1.66951599297412
"90","GDs","Butternut","Paille","T1",400
"91","SGC","Butternut","Paille","T1",0.9
"92","LDC","Butternut","Paille","T1",5000
