"","Parameter","Specie","Treatment","Time","Value"
"1","erSem","Potimmaron","Bache","T1",0.1071
"2","dSem","Potimmaron","Bache","T1",1
"3","maxSem","Potimmaron","Bache","T1",1
"4","ageAdv","Potimmaron","Bache","T1",0
"5","distAdv","Potimmaron","Bache","T1",0
"6","erAdv","Potimmaron","Bache","T1",0
"7","dAdv","Potimmaron","Bache","T1",0
"8","maxAdv","Potimmaron","Bache","T1",0
"9","dmin","Potimmaron","Bache","T1",0.28340057
"10","dmax","Potimmaron","Bache","T1",1.9908673
"11","EL","Potimmaron","Bache","T1",60.5
"12","TrT","Potimmaron","Bache","T1",1
"13","Trint","Potimmaron","Bache","T1",0.03
"14","PDT","Potimmaron","Bache","T1",0.6571
"15","IPD","Potimmaron","Bache","T1",12.8145286690874
"16","pdmax","Potimmaron","Bache","T1",0.8
"17","pdmin","Potimmaron","Bache","T1",0
"18","RDM","Potimmaron","Bache","T1",0.214
"19","CVDD","Potimmaron","Bache","T1",0.15
"20","TMD","Potimmaron","Bache","T1",9.06101780269922
"21","GDs","Potimmaron","Bache","T1",400
"22","SGC","Potimmaron","Bache","T1",0.9
"23","LDC","Potimmaron","Bache","T1",5000
"24","erSem","Potimmaron","Feuilles","T1",0.1071
"25","dSem","Potimmaron","Feuilles","T1",1
"26","maxSem","Potimmaron","Feuilles","T1",1
"27","ageAdv","Potimmaron","Feuilles","T1",0
"28","distAdv","Potimmaron","Feuilles","T1",0
"29","erAdv","Potimmaron","Feuilles","T1",0
"30","dAdv","Potimmaron","Feuilles","T1",0
"31","maxAdv","Potimmaron","Feuilles","T1",0
"32","dmin","Potimmaron","Feuilles","T1",0.302217514
"33","dmax","Potimmaron","Feuilles","T1",1.63956904
"34","EL","Potimmaron","Feuilles","T1",60.5
"35","TrT","Potimmaron","Feuilles","T1",1
"36","Trint","Potimmaron","Feuilles","T1",0.03
"37","PDT","Potimmaron","Feuilles","T1",0.6571
"38","IPD","Potimmaron","Feuilles","T1",1.80533726956843
"39","pdmax","Potimmaron","Feuilles","T1",0.8
"40","pdmin","Potimmaron","Feuilles","T1",0
"41","RDM","Potimmaron","Feuilles","T1",0.214
"42","CVDD","Potimmaron","Feuilles","T1",0.15
"43","TMD","Potimmaron","Feuilles","T1",10.7661512795858
"44","GDs","Potimmaron","Feuilles","T1",400
"45","SGC","Potimmaron","Feuilles","T1",0.9
"46","LDC","Potimmaron","Feuilles","T1",5000
"47","erSem","Potimmaron","Labour","T1",0.1071
"48","dSem","Potimmaron","Labour","T1",1
"49","maxSem","Potimmaron","Labour","T1",1
"50","ageAdv","Potimmaron","Labour","T1",0
"51","distAdv","Potimmaron","Labour","T1",0
"52","erAdv","Potimmaron","Labour","T1",0
"53","dAdv","Potimmaron","Labour","T1",0
"54","maxAdv","Potimmaron","Labour","T1",0
"55","dmin","Potimmaron","Labour","T1",0.309328676
"56","dmax","Potimmaron","Labour","T1",1.199028668
"57","EL","Potimmaron","Labour","T1",60.5
"58","TrT","Potimmaron","Labour","T1",1
"59","Trint","Potimmaron","Labour","T1",0.03
"60","PDT","Potimmaron","Labour","T1",0.6571
"61","IPD","Potimmaron","Labour","T1",7.95220202327729
"62","pdmax","Potimmaron","Labour","T1",0.8
"63","pdmin","Potimmaron","Labour","T1",0
"64","RDM","Potimmaron","Labour","T1",0.214
"65","CVDD","Potimmaron","Labour","T1",0.15
"66","TMD","Potimmaron","Labour","T1",8.0522097164876
"67","GDs","Potimmaron","Labour","T1",400
"68","SGC","Potimmaron","Labour","T1",0.9
"69","LDC","Potimmaron","Labour","T1",5000
"70","erSem","Potimmaron","Temoin","T1",0.1071
"71","dSem","Potimmaron","Temoin","T1",1
"72","maxSem","Potimmaron","Temoin","T1",1
"73","ageAdv","Potimmaron","Temoin","T1",0
"74","distAdv","Potimmaron","Temoin","T1",0
"75","erAdv","Potimmaron","Temoin","T1",0
"76","dAdv","Potimmaron","Temoin","T1",0
"77","maxAdv","Potimmaron","Temoin","T1",0
"78","dmin","Potimmaron","Temoin","T1",0.237552351
"79","dmax","Potimmaron","Temoin","T1",0.553965096
"80","EL","Potimmaron","Temoin","T1",60.5
"81","TrT","Potimmaron","Temoin","T1",1
"82","Trint","Potimmaron","Temoin","T1",0.03
"83","PDT","Potimmaron","Temoin","T1",0.6571
"84","IPD","Potimmaron","Temoin","T1",2.63967624353715
"85","pdmax","Potimmaron","Temoin","T1",0.8
"86","pdmin","Potimmaron","Temoin","T1",0
"87","RDM","Potimmaron","Temoin","T1",0.214
"88","CVDD","Potimmaron","Temoin","T1",0.15
"89","TMD","Potimmaron","Temoin","T1",610.471220851786
"90","GDs","Potimmaron","Temoin","T1",400
"91","SGC","Potimmaron","Temoin","T1",0.9
"92","LDC","Potimmaron","Temoin","T1",5000
