"","Parameter","Specie","Plante","Value"
"1","erSem","Potimarron",1,0.1071
"2","dSem","Potimarron",1,1
"3","maxSem","Potimarron",1,1
"4","ageAdv","Potimarron",1,0
"5","distAdv","Potimarron",1,0
"6","erAdv","Potimarron",1,0
"7","dAdv","Potimarron",1,0
"8","maxAdv","Potimarron",1,0
"9","dmin","Potimarron",1,0.312637345
"10","dmax","Potimarron",1,0.719871268
"11","EL","Potimarron",1,60.541371958227
"12","TrT","Potimarron",1,1
"13","Trint","Potimarron",1,0.03
"14","PDT","Potimarron",1,0.657
"15","IPD","Potimarron",1,6.35693707083007
"16","pdmax","Potimarron",1,0.8
"17","pdmin","Potimarron",1,0
"18","RDM","Potimarron",1,0.0989978268846136
"19","CVDD","Potimarron",1,0.15
"20","TMD","Potimarron",1,0.1
"21","GDs","Potimarron",1,400
"22","SGC","Potimarron",1,0.9
"23","LDC","Potimarron",1,5000
"24","erSem","Potimarron",2,0.1071
"25","dSem","Potimarron",2,1
"26","maxSem","Potimarron",2,1
"27","ageAdv","Potimarron",2,0
"28","distAdv","Potimarron",2,0
"29","erAdv","Potimarron",2,0
"30","dAdv","Potimarron",2,0
"31","maxAdv","Potimarron",2,0
"32","dmin","Potimarron",2,0.343274272
"33","dmax","Potimarron",2,0.633946924
"34","EL","Potimarron",2,60.541371958227
"35","TrT","Potimarron",2,1
"36","Trint","Potimarron",2,0.03
"37","PDT","Potimarron",2,0.657
"38","IPD","Potimarron",2,6.85526247823154
"39","pdmax","Potimarron",2,0.8
"40","pdmin","Potimarron",2,0
"41","RDM","Potimarron",2,0.0989978268846136
"42","CVDD","Potimarron",2,0.15
"43","TMD","Potimarron",2,0.1
"44","GDs","Potimarron",2,400
"45","SGC","Potimarron",2,0.9
"46","LDC","Potimarron",2,5000
"47","erSem","Potimarron",3,0.1071
"48","dSem","Potimarron",3,1
"49","maxSem","Potimarron",3,1
"50","ageAdv","Potimarron",3,0
"51","distAdv","Potimarron",3,0
"52","erAdv","Potimarron",3,0
"53","dAdv","Potimarron",3,0
"54","maxAdv","Potimarron",3,0
"55","dmin","Potimarron",3,0.318496748
"56","dmax","Potimarron",3,0.64692318
"57","EL","Potimarron",3,60.541371958227
"58","TrT","Potimarron",3,1
"59","Trint","Potimarron",3,0.03
"60","PDT","Potimarron",3,0.657
"61","IPD","Potimarron",3,5.14404165398017
"62","pdmax","Potimarron",3,0.8
"63","pdmin","Potimarron",3,0
"64","RDM","Potimarron",3,0.0989978268846136
"65","CVDD","Potimarron",3,0.15
"66","TMD","Potimarron",3,0.1
"67","GDs","Potimarron",3,400
"68","SGC","Potimarron",3,0.9
"69","LDC","Potimarron",3,5000
"70","erSem","Potimarron",4,0.1071
"71","dSem","Potimarron",4,1
"72","maxSem","Potimarron",4,1
"73","ageAdv","Potimarron",4,0
"74","distAdv","Potimarron",4,0
"75","erAdv","Potimarron",4,0
"76","dAdv","Potimarron",4,0
"77","maxAdv","Potimarron",4,0
"78","dmin","Potimarron",4,0.296290351
"79","dmax","Potimarron",4,0.592794038
"80","EL","Potimarron",4,60.541371958227
"81","TrT","Potimarron",4,1
"82","Trint","Potimarron",4,0.03
"83","PDT","Potimarron",4,0.657
"84","IPD","Potimarron",4,8.90406532607854
"85","pdmax","Potimarron",4,0.8
"86","pdmin","Potimarron",4,0
"87","RDM","Potimarron",4,0.0989978268846136
"88","CVDD","Potimarron",4,0.15
"89","TMD","Potimarron",4,0.1
"90","GDs","Potimarron",4,400
"91","SGC","Potimarron",4,0.9
"92","LDC","Potimarron",4,5000
"93","erSem","Potimarron",5,0.1071
"94","dSem","Potimarron",5,1
"95","maxSem","Potimarron",5,1
"96","ageAdv","Potimarron",5,0
"97","distAdv","Potimarron",5,0
"98","erAdv","Potimarron",5,0
"99","dAdv","Potimarron",5,0
"100","maxAdv","Potimarron",5,0
"101","dmin","Potimarron",5,0.28173968
"102","dmax","Potimarron",5,0.65677574
"103","EL","Potimarron",5,60.541371958227
"104","TrT","Potimarron",5,1
"105","Trint","Potimarron",5,0.03
"106","PDT","Potimarron",5,0.657
"107","IPD","Potimarron",5,3.7728075649319
"108","pdmax","Potimarron",5,0.8
"109","pdmin","Potimarron",5,0
"110","RDM","Potimarron",5,0.0989978268846136
"111","CVDD","Potimarron",5,0.15
"112","TMD","Potimarron",5,0.1
"113","GDs","Potimarron",5,400
"114","SGC","Potimarron",5,0.9
"115","LDC","Potimarron",5,5000
